"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note"
Callide B 2,Turbine - Steam Sub Critical,Fossil - Black Coal,350.0,Operational,,Australia,Queensland,,,POINT (150.627973 -24.334025),-24.334025,150.627973,,,
Callide C 1,Turbine - Steam Super Critical,Fossil - Black Coal,424.0,Operational,,Australia,Queensland,2024-01-02,,POINT (150.618181 -24.344946),-24.344946,150.618181,,,
Callide C 2,Turbine - Steam Super Critical,Fossil - Black Coal,420.0,Operational,,Australia,Queensland,2024-01-07,,POINT (150.618181 -24.344946),-24.344946,150.618181,,,
Callide Power Station Solar Farm,Solar PV - Fixed,Solar - Solar,200.0,Development,,Australia,Queensland,,,,,,,,
Callide Solar Power Station BESS,Storage - Battery,Other - Other,210.0,Development,,Australia,Queensland,,,,,,,,
Callide Wind Farm,Wind Turbine - Onshore,Wind - Wind,421.6,Development,,Australia,Queensland,,,POINT (150.568291 -24.09013),-24.09013,150.568291,,,
Caloundra Renewable Energy Facility,Reciprocating Engine - Spark ignition,Renewable Biomass or Waste - Landfill Gas,0.85,Operational,,Australia,Queensland,,,,,,,,
Calvale BESS,Storage - Battery,Other - Other,500.0,Development,,Australia,Queensland,,,,,,,,
Calvale Solar Farm,Solar PV - Fixed,Solar - Solar,500.0,Development,,Australia,Queensland,,,,,,,,
Campbells Forest Solar Farm,Solar PV - Single axis tracking,Solar - Solar,205.0,Development,,Australia,Victoria,,,,,,,,
Canunda Wind Farm,Wind Turbine - Onshore,Wind - Wind,46.0,Operational,,Australia,South Australia,,,POINT (140.40331129 -37.76025336),-37.76025336,140.4033113,,,
Canyonleigh BESS,Storage - Battery,Other - Other,300.3,Development,,Australia,New South Wales,,,,,,,,
Cape Winds Offshore Wind Farm,Wind Turbine - Offshore,Wind - Wind,1995.0,Development,,Australia,Victoria,,,,,,,,
Capital 2 Wind Farm,Wind Turbine - Onshore,Wind - Wind,143.5,Development,,Australia,New South Wales,,,,,,,https://www.iberdrola.com.au/our-assets/development-assets,
Capital Battery,Storage - Battery,Other - Other,100.32,Development,,Australia,New South Wales,2023-01-12,,,,,,,
Capital East Solar Farm P1,Solar PV - Fixed,Solar - Solar,2.0,Operational,,Australia,New South Wales,,,POINT (149.5083 -35.2018),-35.2018,149.5083,,,
Capital Wind Farm,Wind Turbine - Onshore,Wind - Wind,140.7,Operational,,Australia,New South Wales,,,POINT (149.518477 -35.166308),-35.166308,149.518477,,,
Capricornia Energy Hub (CEH) PHES,Storage - Pumped hydro,Hydro - Water,750.0,Development,,Australia,Queensland,,,,,,,,
Captains Mountain Wind Farm,Wind Turbine - Onshore,Wind - Wind,324.0,Development,,Australia,Queensland,2027-01-12,,POINT (151.13234 -27.938684),-27.938684,151.13234,,,
Carag Solar Farm,Solar PV - Fixed,Solar - Solar,16.0,Development,,Australia,New South Wales,2025-01-03,,,,,,,
Cardinia Creek Mini-Hydro,Hydro - Dam,Hydro - Water,0.09,Operational,,Australia,Victoria,,,,,,,,
CARINA WEST H2E,Turbine - Steam Sub Critical,Renewable Biomass or Waste - Bagasse,3.1,Operational,,Australia,Victoria,,,,,,,,
Carisbrook Solar Farm,Solar PV - Single axis tracking,Solar - Solar,74.0,Development,,Australia,Victoria,2028-01-04,,,,,,,
Carmody BESS,Storage - Battery,Other - Other,100.0,Development,,Australia,South Australia,,,,,,,,
Carmodys Hill Wind Farm - BESS,Storage - Battery,Other - Other,118.0,Development,,Australia,South Australia,,,,,,,,
Carmodys Hill Wind Farm - Wind,Wind Turbine - Onshore,Wind - Wind,118.0,Development,,Australia,South Australia,,,,,,,,
Carwarp BESS,Storage - Battery,Other - Other,30.0,Development,,Australia,Victoria,,,,,,,,
Carwarp Solar Farm - Stage I,Solar PV - Single axis tracking,Solar - Solar,150.0,Development,,Australia,Victoria,,,,,,,,
Carwarp Solar Farm - Stage II,Solar PV - Single axis tracking,Solar - Solar,150.0,Development,,Australia,Victoria,,,,,,,,
Catagunya / Liapootah / Wayatinah,Hydro - Dam,Hydro - Water,176.7,Operational,,Australia,Tasmania,,,POINT (146.59768666 -42.45238115),-42.45238115,146.5976867,,,
Cathedral Rocks Wind Farm,Wind Turbine - Onshore,Wind - Wind,62.0,Operational,,Australia,South Australia,,,POINT (135.59440407373114 -34.85034499569533),-34.850861,135.585172,,,Originally 33 wind_turbine_qty
Cattle Hill Wind Farm,Wind Turbine - Onshore,Wind - Wind,144.0,Operational,,Australia,Tasmania,2021-01-02,,POINT (146.72410072739672 -42.14979927317622),-42.159931,146.708927,,,
Cedar Meats Solar Geelong,Solar PV - Fixed,Solar - Solar,0.2,Operational,,Australia,Victoria,,,,,,,,
Cellars Hill BESS,Storage - Battery,Other - Other,150.0,Development,,Australia,Tasmania,,,,,,,,
Cellars Hill Wind Farm,Wind Turbine - Onshore,Wind - Wind,400.0,Development,,Australia,Tasmania,,,,,,,,
Central West Pumped Hydro,Hydro - Dam,Hydro - Water,325.0,Development,,Australia,New South Wales,,,,,,,,
Cethana,Hydro - Dam,Hydro - Water,85.0,Operational,,Australia,Tasmania,,,POINT (146.134909 -41.478738),-41.478738,146.134909,,,
Cethana Pumped Hydro Option,Storage - Pumped hydro,Hydro - Water,750.0,Development,,Australia,Tasmania,,,,,,,,
Chaff Mill (Mintaro) BESS,Storage - Battery,Other - Other,101.5,Development,,Australia,South Australia,,,,,,,,
Challicum Hills Wind Farm,Wind Turbine - Onshore,Wind - Wind,52.5,Operational,,Australia,Victoria,,,POINT (143.1058455 -37.3833181),,,,,
Chances Plain Solar Farm,Solar PV - Single axis tracking,Solar - Solar,98.01,Development,,Australia,Queensland,,,POINT (149.8096537 -26.62018272),-26.62018272,149.8096537,,,
Chepstowe Wind Farm,Wind Turbine - Onshore,Wind - Wind,6.15,Operational,,Australia,Victoria,2015-01-03,,POINT (143.495852 -37.596069),-37.596069,143.495852,,,
Cherry Tree Wind Farm,Wind Turbine - Onshore,Wind - Wind,57.6,Operational,,Australia,Victoria,2020-01-07,,POINT (145.267835 -37.099382),-37.099382,145.267835,,,
Childers Solar Farm,Solar PV - Single axis tracking,Solar - Solar,64.38,Operational,,Australia,Queensland,2019-01-06,,POINT (152.40503637 -25.29276553),-25.29276553,152.4050364,,,
Chillamurra,Solar PV - Fixed,Solar - Solar,4.77,Operational,,Australia,New South Wales,,,,,,,,
Chillamurra Solar Farm,Solar PV - Fixed,Solar - Solar,3.6,Operational,,Australia,Queensland,,,,,,,,
Chinchilla BESS,Storage - Battery,Other - Other,100.0,Construction,,Australia,Queensland,2024-01-02,,POINT (150.7495 -26.91745),-26.91745,150.7495,,,
Chinchilla Solar Farm,Solar PV - Single axis tracking,Solar - Solar,113.16,Development,,Australia,Queensland,,,POINT (141.8590739 -12.6476517),-12.6476517,141.8590739,,,
Chipping Norton Waste to Energy,Turbine - Steam Sub Critical,Other - Other,8.0,Development,,Australia,New South Wales,,,,,,,,
Christies Beach Wastewater Treatment Plant - BESS,Storage - Battery,Other - Other,2.09,Operational,,Australia,South Australia,2023-01-01,,,,,,,
Christies Beach Wastewater Treatment Plant - Solar,Solar PV - Single axis tracking,Solar - Solar,4.8,Operational,,Australia,South Australia,2022-01-10,,,,,,,
Churchill Abattoir,Solar PV - Fixed,Solar - Solar,0.91,Operational,,Australia,Queensland,,,,,,,,
