"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note","pv_module_oem","pv_module_model","pv_module_type","pv_module_rating_w","pv_module_qty","inverter_oem","inverter_model","inverter_type","inverter_rating_w","inverter_qty","array_structure_oem","array_structure_model","array_structure_type"
Harlin Solar Farm - Solar,Solar PV - Single axis tracking,Solar - Solar,400.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Haughton Solar Farm Stage 1,Solar PV - Single axis tracking,Solar - Solar,132.6,Operational,,Australia,Queensland,2020-01-09,,POINT (147.04851 -19.7485),-19.7485,147.04851,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Hay Sun Farm,Solar PV - Single axis tracking,Solar - Solar,110.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Hayman Solar Farm,Solar PV - Single axis tracking,Solar - Solar,57.75,Operational,,Australia,Queensland,,,POINT (147.74493351 -20.48766837),-20.48766837,147.7449335,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Hazelwood North Solar Farm,Solar PV - Fixed,Solar - Solar,480.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Hillston Sun Farm,Solar PV - Single axis tracking,Solar - Solar,110.0,Operational,,Australia,New South Wales,2022-01-07,,POINT (145.52427 -33.52372),-33.52372,145.52427,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Hopeland Solar Farm ,Solar PV - Fixed,Solar - Solar,2480.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Horsham Solar Farm,Solar PV - Single axis tracking,Solar - Solar,118.8,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Hughenden Sun Farm,Solar PV - Single axis tracking,Solar - Solar,20.97,Operational,,Australia,Queensland,2022-01-04,,POINT (144.186359 -20.854844),-20.854844,144.186359,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Ilford Green Energy Hub - Solar,Solar PV - Single axis tracking,Solar - Solar,333.64,Development,,Australia,New South Wales,2028-01-12,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Innes Park Solar Farm,Solar PV - Single axis tracking,Solar - Solar,24.0,Development,,Australia,Queensland,2026-01-07,,POINT (152.4542424 -24.88208631),-24.88208631,152.4542424,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Inverleigh Solar Farm,Solar PV - Fixed,Solar - Solar,22.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Jemalong Solar,Solar PV - Single axis tracking,Solar - Solar,55.0,Operational,,Australia,New South Wales,2021-01-12,,POINT (147.64525 -33.40747),-33.40747,147.64525,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Jessica Way Truganina Solar,Solar PV - Fixed,Solar - Solar,0.37,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Jindera Solar Farm,Solar PV - Fixed,Solar - Solar,120.08,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
JL King & Co 150kW- Solar-,Solar PV - Fixed,Solar - Solar,0.15,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Junee Solar Farm,Solar PV - Single axis tracking,Solar - Solar,36.01,Operational,,Australia,New South Wales,,,POINT (147.572829 -34.815205),-34.815205,147.572829,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kanowna Solar Farm,Solar PV - Fixed,Solar - Solar,5.0,Operational,,Australia,New South Wales,2019-01-08,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
