"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note","pv_module_oem","pv_module_model","pv_module_type","pv_module_rating_w","pv_module_qty","inverter_oem","inverter_model","inverter_type","inverter_rating_w","inverter_qty","array_structure_oem","array_structure_model","array_structure_type"
Mulwala Solar Farm,Solar PV - Single axis tracking,Solar - Solar,25.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Munna Creek Solar Farm,Solar PV - Single axis tracking,Solar - Solar,154.0,Development,,Australia,Queensland,2024-01-04,,POINT (152.4356913 -25.87781183),-25.87781183,152.4356913,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Murray Bridge - Onkaparinga Pipeline Pump 2,Solar PV - Single axis tracking,Solar - Solar,13.74,Operational,,Australia,South Australia,2022-01-08,,POINT (139.210112 -35.096732),-35.096732,139.210112,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Myrtle Creek Solar Farm,Solar PV - Fixed,Solar - Solar,102.06,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Naring Solar Farm,Solar PV - Fixed,Solar - Solar,60.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Narrabri Solar Farm,Solar PV - Fixed,Solar - Solar,120.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Narrabri South Solar Farm,Solar PV - Fixed,Solar - Solar,50.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Narromine Solar Farm,Solar PV - Single axis tracking,Solar - Solar,10.0,Operational,,Australia,New South Wales,,,POINT (148.254394 -32.218459),-32.218459,148.254394,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
NAWMA Balefill Site Uleybury - Solar,Solar PV - Fixed,Solar - Solar,1.15,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Nevertire Solar Farm,Solar PV - Single axis tracking,Solar - Solar,104.64,Operational,,Australia,New South Wales,2020-01-07,,POINT (147.706024 -31.827987),-31.827987,147.706024,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
New England Solar Farm,Solar PV - Single axis tracking,Solar - Solar,400.0,Construction,,Australia,New South Wales,2023-01-05,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
New England Solar Farm 2,Solar PV - Single axis tracking,Solar - Solar,320.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Newhaven College,Solar PV - Fixed,Solar - Solar,0.24,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Normanton Solar Farm,Solar PV - Single axis tracking,Solar - Solar,4.96,Operational,,Australia,Queensland,,,POINT (141.0500048 -17.68096032),-17.68096032,141.0500048,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
North Burnett Renewable Hub - Solar,Solar PV - Fixed,Solar - Solar,720.0,Development,,Australia,Queensland,,,POINT (151.2289131 -26.90127804),-26.90127804,151.2289131,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Northern Midlands Solar Farm,Solar PV - Fixed,Solar - Solar,289.8,Development,,Australia,Tasmania,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Nottingham Park Solar Farm,Solar PV - Fixed,Solar - Solar,210.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Nowingi Solar Storage - Solar,Solar PV - Single axis tracking,Solar - Solar,250.0,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Numurkah Solar Farm,Solar PV - Single axis tracking,Solar - Solar,66.79,Operational,,Australia,Victoria,2019-01-08,,POINT (145.47455201 -36.15924846),-36.15924846,145.474552,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Numurkah Solar Farm,Solar PV - Single axis tracking,Solar - Solar,34.3,Operational,,Australia,Victoria,2019-01-08,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Nyngan Solar Plant,Solar PV - Fixed,Solar - Solar,102.03,Operational,,Australia,New South Wales,,,POINT (147.08535195 -31.55274036),-31.55274036,147.085352,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Oakey 2 Solar Farm,Solar PV - Single axis tracking,Solar - Solar,55.64,Operational,,Australia,Queensland,2022-01-04,,POINT (151.6336956 -27.409398),-27.409398,151.6336956,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Oakey Solar Farm,Solar PV - Fixed,Solar - Solar,25.0,Operational,,Australia,Queensland,2019-01-08,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Oakville Solar Farm,Solar PV - Fixed,Solar - Solar,450.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Orange Grove Sun Farm,Solar PV - Single axis tracking,Solar - Solar,80.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Oxley Solar Farm,Solar PV - Fixed,Solar - Solar,300.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Parkes Shire Council STP,Solar PV - Fixed,Solar - Solar,0.11,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Parkes Shire Council WTP,Solar PV - Fixed,Solar - Solar,0.11,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Parkes Solar Farm,Solar PV - Single axis tracking,Solar - Solar,55.0,Operational,,Australia,New South Wales,,,POINT (148.07498992 -33.10273408),-33.10273408,148.0749899,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Peninsula Solar Farm - Solar,Solar PV - Single axis tracking,Solar - Solar,80.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Penrith RSL Solar,Solar PV - Fixed,Solar - Solar,0.2,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Peterborough Solar Farm,Solar PV - Single axis tracking,Solar - Solar,4.9,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Photon Energy Leeton,Solar PV - Fixed,Solar - Solar,22.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Planet Ark Power and Schneider Electric - PV and Battery Microgrid,Solar PV - Fixed,Solar - Solar,5.7,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Port Augusta Renewable Energy Park - Solar,Solar PV - Fixed,Solar - Solar,79.2,Operational,,Australia,South Australia,2023-01-01,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Port Pirie Solar Farm,Solar PV - Fixed,Solar - Solar,300.0,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Prairie Solar Farm,Solar PV - Single axis tracking,Solar - Solar,,Development,,Australia,Victoria,2027-01-10,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Proten - Farm 60,Solar PV - Fixed,Solar - Solar,0.36,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Proten - Farm 61,Solar PV - Fixed,Solar - Solar,0.36,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Proten - Farm 74,Solar PV - Fixed,Solar - Solar,0.25,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Proten - Farm 75 - 79,Solar PV - Fixed,Solar - Solar,1.21,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Punchs Creek (Millmerran) Solar Farm,Solar PV - Fixed,Solar - Solar,600.0,Development,,Australia,Queensland,,,POINT (151.371481 -27.945486),-27.945486,151.371481,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Quorn Park Hybrid - Solar,Solar PV - Single axis tracking,Solar - Solar,96.8,Development,,Australia,New South Wales,2025-01-12,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Raglan Solar Farm,Solar PV - Single axis tracking,Solar - Solar,300.0,Development,,Australia,Queensland,,,POINT (150.8718243 -23.76857208),-23.76857208,150.8718243,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Rangemore Solar Farm,Solar PV - Fixed,Solar - Solar,20.0,Development,,Australia,Queensland,,,POINT (148.441896 -20.437897),-20.437897,148.441896,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Red Cliffs Solar & BESS,Solar PV - Single axis tracking,Solar - Solar,60.0,Development,,Australia,Victoria,2026-01-03,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Redmud Green Energy 10,Solar PV - Fixed,Solar - Solar,0.21,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Redmud Green Energy 11,Solar PV - Fixed,Solar - Solar,0.21,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Redmud Green Energy 12,Solar PV - Fixed,Solar - Solar,0.21,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Redmud Green Energy 13,Solar PV - Fixed,Solar - Solar,0.21,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Redmud Green Energy 14,Solar PV - Fixed,Solar - Solar,0.21,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Redmud Green Energy 4,Solar PV - Fixed,Solar - Solar,0.6,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Redmud Green Energy 5,Solar PV - Fixed,Solar - Solar,0.21,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Redmud Green Energy 6,Solar PV - Fixed,Solar - Solar,0.21,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Redmud Green Energy 7,Solar PV - Fixed,Solar - Solar,0.21,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Redmud Green Energy 8,Solar PV - Fixed,Solar - Solar,0.21,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Redmud Green Energy 9,Solar PV - Fixed,Solar - Solar,0.21,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Richmond Valley Solar Farm,Solar PV - Single axis tracking,Solar - Solar,412.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Riverina Solar Farm,Solar PV - Single axis tracking,Solar - Solar,32.4,Development,,Australia,New South Wales,2025-01-06,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Riverland Solar Storage - Solar,Solar PV - Single axis tracking,Solar - Solar,330.0,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
RMGE94,Solar PV - Fixed,Solar - Solar,0.05,Operational,,Australia,South Australia,2022-01-09,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Robertstown Solar,Solar PV - Single axis tracking,Solar - Solar,500.0,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Rollsville Hybrid Facility - Solar,Solar PV - Fixed,Solar - Solar,220.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Romani Solar Farm,Solar PV - Fixed,Solar - Solar,252.25,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Rosedale SF,Solar PV - Fixed,Solar - Solar,500.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Ross River Solar Farm,Solar PV - Single axis tracking,Solar - Solar,128.0,Operational,,Australia,Queensland,,,POINT (146.7170667 -19.4182089),-19.4182089,146.7170667,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Royalla Solar Farm,Solar PV - Fixed,Solar - Solar,20.0,Operational,,Australia,New South Wales,,,POINT (149.143 -35.4901),-35.4901,149.143,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Rugby Run Solar Farm,Solar PV - Single axis tracking,Solar - Solar,65.0,Operational,,Australia,Queensland,2020-01-10,,POINT (147.9187653 -22.14046924),-22.14046924,147.9187653,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
SA Aquatic & Leasure Centre,Solar PV - Fixed,Solar - Solar,0.51,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
SALE HOSPITAL - SOLAR,Solar PV - Fixed,Solar - Solar,0.26,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Salisbury Solar 450MW   ,Solar PV - Single axis tracking,Solar - Solar,170.0,Development,,Australia,New South Wales,2027-01-09,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Salisbury Solar 450MW   ,Solar PV - Single axis tracking,Solar - Solar,280.0,Development,,Australia,New South Wales,2027-01-09,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Sandigo Solar Farm,Solar PV - Fixed,Solar - Solar,300.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Sapphire Solar Farm,Solar PV - Single axis tracking,Solar - Solar,150.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
SCS Shepparton,Solar PV - Fixed,Solar - Solar,0.3,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Seaford Renewable Energy Facility - Solar,Solar PV - Fixed,Solar - Solar,0.6,Operational,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Sebastopol Solar Farm,Solar PV - Single axis tracking,Solar - Solar,90.0,Development,,Australia,New South Wales,2023-01-01,,POINT (147.5548858 -34.602951),-34.602951,147.5548858,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Shamic Sheetmetal,Solar PV - Fixed,Solar - Solar,0.31,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
SIPS Staypylton Industrial Power Station,Solar PV - Fixed,Solar - Solar,0.15,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Smoky Creek Solar Farm,Solar PV - Single axis tracking,Solar - Solar,700.0,Development,,Australia,Queensland,,,POINT (150.4080574 -24.05304732),-24.05304732,150.4080574,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Snowtown North Solar Farm,Solar PV - Fixed,Solar - Solar,44.0,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Solar River Solar And BESS Project -Solar,Solar PV - Single axis tracking,Solar - Solar,255.76,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Somerset Dam,Solar PV - Fixed,Solar - Solar,3.2,Operational,,Australia,Queensland,,,POINT (152.556 -27.1152),-27.1152,152.556,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
South Keswick Solar Farm,Solar PV - Single axis tracking,Solar - Solar,15.0,Operational,,Australia,New South Wales,,,POINT (148.6446276 -32.2770701),-32.2770701,148.6446276,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Springdale Solar Farm,Solar PV - Single axis tracking,Solar - Solar,120.0,Development,,Australia,New South Wales,,,POINT (151.5884596 -24.19321219),-24.19321219,151.5884596,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
SSE Whyalla Solar Farm,Solar PV - Single axis tracking,Solar - Solar,5.4,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
St Patrick's College Launceston,Solar PV - Fixed,Solar - Solar,0.27,Operational,,Australia,Tasmania,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
St Ursula's College Yeppoon,Solar PV - Fixed,Solar - Solar,0.17,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Stanhope BESS Project 01,Storage - Battery,Solar - Solar,20.0,Development,,Australia,Victoria,2026-01-05,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Stanhope BESS Project 02,Solar PV - Fixed,Solar - Solar,5.0,Development,,Australia,Victoria,2026-01-05,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Stockland Development Wetherill Park,Solar PV - Fixed,Solar - Solar,0.93,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Stubbo Solar Farm,Solar PV - Single axis tracking,Solar - Solar,400.0,Development,,Australia,New South Wales,2024-01-07,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Summerhill Solar Farm,Solar PV - Fixed,Solar - Solar,5.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Summerville Solar Farm,Solar PV - Fixed,Solar - Solar,,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Sun Metals Corporation Solar Farm,Solar PV - Fixed,Solar - Solar,143.0,Operational,,Australia,Queensland,,,POINT (146.88849659 -19.33545611),-19.33545611,146.8884966,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Sundown SF(Canadian Solar),Solar PV - Fixed,Solar - Solar,360.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Sundown Solar Farm,Solar PV - Fixed,Solar - Solar,600.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Sunraysia Solar Farm,Solar PV - Single axis tracking,Solar - Solar,228.8,Operational,,Australia,New South Wales,2021-01-12,,POINT (143.5087952 -34.8215156),-34.8215156,143.5087952,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Sunshine Coast Solar Farm,Solar PV - Fixed,Solar - Solar,15.0,Operational,,Australia,Queensland,,,POINT (153.025774 -26.56009333),-26.56009333,153.025774,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Sunshine Energy Solar Farm,Solar PV - Single axis tracking,Solar - Solar,1500.0,Development,,Australia,Queensland,,,POINT (152.4154087 -26.95060742),-26.95060742,152.4154087,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Sunshine State Solar Farm and BESS,Solar PV - Fixed,Solar - Solar,110.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Sunshine State Solar Farm and BESS (Rollingstone),Solar PV - Fixed,Solar - Solar,500.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Suntop Solar Farm,Solar PV - Single axis tracking,Solar - Solar,150.0,Operational,,Australia,New South Wales,2021-01-12,,POINT (148.82721 -32.58284),-32.58284,148.82721,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Supernode Project,Storage - Battery,Solar - Solar,750.0,Development,,Australia,Queensland,,,POINT (153.011074 -27.337829),-27.337829,153.011074,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Susan River Solar Farm,Solar PV - Single axis tracking,Solar - Solar,85.26,Operational,,Australia,Queensland,2019-01-12,,POINT (152.7373831 -25.4172643),-25.4172643,152.7373831,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Swan Hill Solar Farm 1 Unit 1,Solar PV - Single axis tracking,Solar - Solar,7.2,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Swan Hill Solar Farm 2 Unit 1,Solar PV - Single axis tracking,Solar - Solar,7.2,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Tabulam Solar Farm,Solar PV - Fixed,Solar - Solar,126.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Tailem Bend - Solar,Solar PV - Fixed,Solar - Solar,108.0,Operational,,Australia,South Australia,2019-01-04,,POINT (139.4849363 -35.275621),-35.275621,139.4849363,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Tailem Bend Stage 2 Solar Project,Solar PV - Single axis tracking,Solar - Solar,105.0,Construction,,Australia,South Australia,2023-01-09,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Tamworth Solar Farm,Solar PV - Single axis tracking,Solar - Solar,65.0,Development,,Australia,New South Wales,2026-01-04,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Taronga Western Plains Zoo,Solar PV - Fixed,Solar - Solar,1.0,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Tenterfield Solar Farm,Solar PV - Fixed,Solar - Solar,29.4,Development,,Australia,New South Wales,2026-01-02,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
The Solar River Project - Stage 1,Solar PV - Fixed,Solar - Solar,200.0,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
The Solar River Project - Stage 2,Solar PV - Fixed,Solar - Solar,200.0,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Theodore Solar Farm,Solar PV - Single axis tracking,Solar - Solar,70.0,Development,,Australia,Queensland,,,POINT (150.1416216 -24.80377062),-24.80377062,150.1416216,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Ticoba Solar Farm,Solar PV - Fixed,Solar - Solar,550.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Tieri Solar Farm - Solar,Solar PV - Single axis tracking,Solar - Solar,74.8,Development,,Australia,Queensland,,,POINT (146.4885954 -19.14303841),-19.14303841,146.4885954,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Tilbuster Solar Farm,Solar PV - Fixed,Solar - Solar,248.82,Development,,Australia,New South Wales,2026-01-03,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar- PF Minchinbury,Solar PV - Fixed,Solar - Solar,0.32,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar - DHP 1MW,Solar PV - Fixed,Solar - Solar,0.95,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar - La Trobe University Bendigo,Solar PV - Fixed,Solar - Solar,0.35,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar - La Trobe University Wodonga,Solar PV - Fixed,Solar - Solar,0.22,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar - Nillumbik,Solar PV - Fixed,Solar - Solar,0.13,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar CSU ,Solar PV - Fixed,Solar - Solar,1.77,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar PE - Llandilo,Solar PV - Fixed,Solar - Solar,0.8,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar SV - Eltham,Solar PV - Fixed,Solar - Solar,0.18,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar SV - Holy Spirit Northside,Solar PV - Fixed,Solar - Solar,0.39,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar SV - Mater Clinic,Solar PV - Fixed,Solar - Solar,0.13,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar SV - Mater Hospital,Solar PV - Fixed,Solar - Solar,0.28,Operational,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar SV - Mitchelton,Solar PV - Fixed,Solar - Solar,0.18,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar SV - Private Brisbane,Solar PV - Fixed,Solar - Solar,0.17,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar SV - Toowoomba,Solar PV - Fixed,Solar - Solar,0.26,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Todae Solar SV Lourdes,Solar PV - Fixed,Solar - Solar,0.26,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Tumuruu Solar Farm,Solar PV - Fixed,Solar - Solar,464.0,Development,,Australia,Queensland,,,POINT (152.104385 -26.833892),-26.833892,152.104385,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Tyrone Solar,Solar PV - Fixed,Solar - Solar,400.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
UniSA Solar project,Solar PV - Fixed,Solar - Solar,1.8,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
University of Melbourne Archives Brunswick,Solar PV - Fixed,Solar - Solar,0.09,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
University of Melbourne McCoy Carlton,Solar PV - Fixed,Solar - Solar,0.07,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
University of Melbourne Performing Arts Centre Southbank,Solar PV - Fixed,Solar - Solar,0.14,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
University of Melbourne Peter Hall Parkville,Solar PV - Fixed,Solar - Solar,0.05,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
University of Melbourne Sports Centre Parkville,Solar PV - Fixed,Solar - Solar,0.16,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
University of Melbourne The Spot Carlton,Solar PV - Fixed,Solar - Solar,0.06,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
University of Southern Queensland Toowoomba,Solar PV - Fixed,Solar - Solar,1.09,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Upper Calliope Solar Farm (side A),Solar PV - Fixed,Solar - Solar,291.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Upper Hunter Energy Park - Solar,Solar PV - Fixed,Solar - Solar,10.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Vales Point Solar,Solar PV - Fixed,Solar - Solar,55.0,Development,,Australia,New South Wales,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Vast Solar 1,Solar Thermal - Other,Solar - Solar,34.0,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Vawdrey Manufacturing,Solar PV - Fixed,Solar - Solar,0.75,Operational,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Vulcan Yatala,Solar PV - Fixed,Solar - Solar,0.2,Operational,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
